 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Crypt of the Eternals|114|8|4|3|1|1|2|13|47|39|9|15|1|14|4|0|54|3|31|23|50|4|29|56|13|4|14|21|49|3|5|0|33|84|12|1|23|14|0|0|2|8|3|32|15|10|9|17|7|8|0|0|1|0|2|11|0|3|24|0|3|6|1|4|0|1|33|1|0|13|25|3|1|1|0|2|3|8|0|0|1|5|17|0|2|4|2
|Dunes of the Dead|30|8|4|1|0|1|1|1|23|127|13|9|1|1|53|0|12|16|15|19|19|10|11|5|18|3|16|34|18|3|27|1|9|0|14|2|64|20|0|0|2|24|1|39|2|4|6|30|0|1|0|0|1|2|2|18|0|1|24|5|2|0|1|2|2|0|6|1|0|13|17|36|4|1|0|6|3|16|0|0|10|6|17|0|2|4|2
|Solitary Camel|100|8|8|0|0|1|0|10|126|130|68|48|1|0|41|0|23|2|33|32|55|5|63|61|28|17|3|37|78|1|110|0|7|113|18|26|28|155|0|0|2|10|25|1|13|19|0|0|5|2|0|0|1|7|2|17|0|0|13|8|8|4|1|0|2|0|32|1|0|13|162|36|14|1|0|27|3|35|0|0|3|10|17|0|2|4|2
|Aerial Guide|164|8|10|0|0|1|0|6|113|170|16|8|1|80|20|0|12|4|17|26|35|0|62|49|14|15|5|36|40|1|148|0|14|49|13|20|78|153|0|0|2|172|7|27|18|6|27|18|10|4|0|0|1|0|2|31|0|2|13|16|5|4|1|24|29|0|32|1|0|13|27|11|6|1|0|27|3|0|0|0|60|21|17|0|2|4|2
|Aven Reedstalker|156|8|3|0|0|1|0|2|15|120|80|61|1|88|61|0|28|21|25|38|72|22|34|70|13|8|26|6|48|1|85|1|9|92|3|20|4|8|0|0|2|10|29|4|11|26|33|2|0|0|0|0|1|17|2|35|0|2|17|8|2|5|1|14|6|0|26|1|1|13|94|5|1|1|0|21|3|36|0|0|54|18|17|0|2|4|2
|Countervailing Winds|32|8|0|0|0|1|0|7|106|94|93|27|1|39|40|0|11|4|7|10|19|32|5|11|38|15|5|7|31|0|9|0|7|48|25|15|56|39|0|0|2|47|13|4|9|19|46|24|24|1|0|0|1|18|2|45|0|4|14|24|20|0|1|27|7|0|63|1|0|13|31|7|4|1|0|4|3|18|0|0|6|3|17|0|2|4|2
|Striped Riverwinder|158|8|0|0|0|1|1|14|7|192|82|0|1|28|0|0|50|9|7|32|0|7|9|6|10|20|5|5|5|1|65|0|7|30|40|19|61|0|0|0|2|72|13|21|0|8|30|19|17|3|0|0|1|10|2|32|0|12|11|2|6|11|1|18|3|0|3|1|0|13|23|45|2|1|0|22|3|21|0|0|14|9|17|0|2|4|2
|Unquenchable Thirst|60|8|16|0|0|1|0|15|34|186|46|36|1|16|50|0|44|18|26|20|25|32|65|48|8|11|17|8|35|1|13|0|10|29|13|10|76|34|0|0|4|140|8|22|7|12|33|36|13|4|0|0|1|0|2|36|0|11|2|17|2|1|1|8|11|0|25|1|0|13|22|18|5|1|0|4|3|22|0|0|16|18|17|0|2|4|2
|Cunning Survivor|17|8|0|0|0|1|0|2|8|185|75|29|1|47|0|0|13|36|6|2|54|22|13|45|32|2|24|4|26|1|38|0|22|28|28|12|32|166|0|0|4|55|17|14|14|22|25|6|9|4|0|0|1|10|2|76|0|4|4|2|32|0|1|22|8|0|10|1|0|13|53|18|1|1|0|4|3|44|0|0|0|15|17|0|2|4|2
|Riddleform|27|8|4|2|0|1|2|0|30|95|16|6|1|2|8|0|1|6|6|22|36|3|2|45|13|0|8|2|14|8|20|1|13|115|17|12|72|29|0|0|4|34|7|37|3|7|25|8|1|4|1|0|1|0|2|8|1|1|5|2|6|3|1|27|8|1|40|1|0|13|3|29|0|1|0|2|3|2|0|0|22|2|17|0|2|4|2
|Spellweaver Eternal|141|8|3|0|0|1|0|10|26|115|54|32|1|68|57|0|10|32|4|22|19|11|17|60|11|7|23|10|26|1|6|0|4|116|28|18|61|50|0|0|4|179|20|9|5|15|9|29|11|5|0|0|3|1|2|72|1|2|7|0|0|6|1|28|17|0|5|1|0|13|85|1|4|1|0|2|3|17|0|0|27|12|17|0|2|4|2
|Imaginary Threats|0|8|2|0|0|1|0|11|12|94|32|8|1|1|36|0|2|9|14|36|0|8|51|64|23|4|4|28|29|6|2|1|39|36|2|7|27|39|7|0|4|20|10|27|2|17|8|43|4|1|0|0|3|1|2|20|0|1|1|4|0|6|1|4|3|0|83|1|2|13|43|30|6|1|0|8|3|7|0|0|2|4|17|0|2|4|2
|Angel of the God-Pharaoh|82|8|2|0|0|1|0|12|18|87|13|8|1|1|53|0|14|3|20|30|70|11|40|42|4|4|3|9|22|3|45|0|3|25|27|7|73|14|7|0|4|54|13|47|13|21|1|16|1|0|0|0|2|0|2|20|0|3|1|5|0|9|1|3|11|0|5|1|0|13|48|47|0|1|0|0|3|9|0|0|31|8|17|0|2|4|2
|Marauding Boneslasher|18|8|9|0|0|1|0|2|27|67|0|0|1|0|50|0|3|29|15|27|53|14|86|32|21|17|36|27|27|5|89|0|7|96|25|24|23|160|7|0|4|150|4|7|10|13|38|11|8|2|0|0|2|19|2|72|0|14|2|8|17|1|1|38|21|0|7|1|0|13|26|21|5|1|0|30|3|18|0|0|51|2|17|0|2|4|2
|Crook of Condemnation|28|8|1|1|0|1|3|12|23|17|68|1|1|1|20|0|20|2|2|0|44|7|2|25|19|1|1|27|23|6|22|2|8|38|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|52|1|0|13|12|9|3|5|0|2|3|7|0|0|1|2|17|0|2|4|2
|Plains (#190)|40|8|1|1|0|1|0|12|20|17|46|1|1|13|20|0|20|32|2|9|44|7|2|25|19|1|1|27|23|6|22|2|20|2|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|208|1|0|13|12|9|3|5|0|2|3|22|0|0|1|2|17|0|2|4|2
|Plains (#191)|157|8|1|1|0|1|0|12|66|17|81|1|1|30|20|0|20|36|2|12|44|7|2|25|2|11|1|27|23|6|22|2|2|4|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|134|1|0|13|12|9|3|5|0|2|3|12|0|0|3|2|17|0|2|4|2
|Island (#192)|141|8|1|1|0|1|0|12|42|17|24|1|1|30|20|0|20|36|2|54|44|1|2|25|2|0|1|27|23|6|22|2|2|5|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|1|2|4|2|12|0|1|1|5|17|3|1|5|4|0|129|1|0|13|12|9|3|5|0|2|3|11|0|0|3|2|17|0|2|4|2
|Island (#193)|101|8|1|1|0|1|0|12|35|17|72|1|1|52|20|0|20|38|2|33|44|1|2|25|2|1|1|27|23|6|22|2|0|2|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|216|1|0|13|12|9|3|5|0|2|3|24|0|0|3|2|17|0|2|4|2
|Swamp (#194)|168|8|1|1|0|1|0|12|2|17|75|1|1|17|20|0|20|6|2|10|44|1|2|25|1|6|1|1|23|6|22|2|0|2|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|56|1|0|13|12|9|3|5|0|2|3|12|0|0|3|2|17|0|2|4|2
|Swamp (#195)|50|8|1|1|0|1|0|12|27|17|77|1|1|42|20|0|20|23|2|29|44|1|2|25|5|3|1|1|23|6|22|2|0|2|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|234|1|0|13|12|9|3|5|0|2|3|16|0|0|3|2|17|0|2|4|2
|Mountain (#196)|52|8|1|1|0|1|0|12|56|17|0|1|1|37|20|0|20|30|2|7|44|1|2|25|5|2|1|1|23|6|22|2|0|6|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|29|1|0|13|12|9|3|5|0|2|3|3|0|0|3|2|17|0|2|4|2
|Mountain (#197)|172|8|1|1|0|1|0|12|29|17|22|1|1|10|20|0|20|16|2|17|44|1|2|25|2|2|1|1|23|6|22|2|2|1|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|3|1|5|4|0|193|1|0|13|12|9|3|5|0|2|3|9|0|0|3|2|17|0|2|4|2
|Forest (#198)|108|8|1|1|0|1|0|12|42|17|7|1|1|34|20|0|20|2|2|59|44|1|2|25|1|2|1|1|23|6|22|2|2|1|6|4|65|0|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|1|1|5|4|0|216|1|0|13|12|9|3|5|0|2|3|14|0|0|3|2|17|0|2|4|2
|Forest (#199)|50|8|1|1|0|1|0|12|21|17|36|1|1|12|20|0|20|10|2|46|44|1|2|25|1|1|1|1|23|6|22|2|2|1|6|4|65|4|7|0|4|12|1|11|11|0|5|3|2|2|0|0|2|4|2|12|0|1|1|5|17|1|1|5|4|0|70|1|0|13|12|9|3|5|0|2|3|20|0|0|3|2|17|0|2|4|2
|Adorned Pouncer 4/4|50|8|1|1|0|1|1|12|21|17|36|1|1|2|7|0|20|0|2|11|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|16|0|4|0|4|12|1|11|11|0|5|12|2|2|0|0|2|4|2|35|0|1|1|5|17|1|1|5|4|0|2|1|0|13|12|9|3|5|0|2|3|3|0|0|3|2|17|0|2|4|2
|Champion of Wits 4/4|16|8|1|1|0|1|1|12|21|17|36|1|1|5|8|0|20|0|2|3|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|6|0|4|0|4|12|1|11|11|0|5|5|2|2|0|0|2|4|2|39|0|1|1|5|17|2|1|5|4|0|10|1|0|13|12|9|3|5|0|2|3|6|0|0|3|2|17|0|2|4|2
|Dreamstealer 4/4|16|8|1|1|0|1|1|12|21|17|36|1|1|3|0|0|20|2|2|7|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|13|0|4|0|4|12|1|11|11|0|5|12|2|2|0|0|2|4|2|15|0|1|1|5|17|4|1|5|4|0|10|1|0|13|12|9|3|5|0|2|3|11|0|0|3|2|17|0|2|4|2
|Earthshaker Khenra 4/4|12|8|1|1|0|1|1|12|21|17|36|1|1|1|4|0|20|0|2|12|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|17|0|4|0|4|12|1|11|11|0|5|8|2|2|0|0|2|4|2|35|0|1|1|5|17|2|1|5|4|0|10|1|0|13|12|9|3|5|0|2|3|11|0|0|3|2|17|0|2|4|2
|Proven Combatant 4/4|7|8|1|1|0|1|1|12|21|17|36|1|1|13|8|0|20|18|2|7|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|4|6|4|0|4|12|1|11|11|0|5|9|2|2|0|0|2|4|2|48|0|1|1|5|17|1|1|5|4|0|2|1|0|13|12|9|3|5|0|2|3|12|0|0|3|2|17|0|2|4|2
|Resilient Khenra 4/4|2|8|1|1|0|1|1|12|21|17|36|1|1|4|4|0|20|0|2|14|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|7|0|4|0|4|12|1|11|11|0|5|16|2|2|0|0|2|4|2|6|0|1|1|5|17|1|1|5|4|0|2|1|0|13|12|9|3|5|0|2|3|7|0|0|3|2|17|0|2|4|2
|Sinuous Striker 4/4|23|8|1|1|0|1|1|12|21|17|36|1|1|5|2|0|20|25|2|13|44|1|2|25|1|0|1|1|23|6|22|2|2|1|6|4|17|0|4|0|4|12|1|11|11|0|5|8|2|2|0|0|2|4|2|48|0|1|1|5|2|1|1|5|4|0|19|1|0|13|12|9|3|5|0|2|3|1|0|0|3|2|17|0|2|4|2
|Steadfast Sentinel 4/4|11|8|1|1|0|1|1|12|21|17|36|1|1|3|4|0|20|4|2|32|44|3|2|25|1|0|1|1|23|6|22|2|2|1|6|4|12|2|4|0|4|12|1|11|11|0|5|14|2|2|0|0|2|4|2|30|0|1|1|5|0|6|1|5|4|0|0|1|0|13|12|9|3|5|0|2|3|21|0|0|3|2|17|0|2|4|2
|Sunscourge Champion 4/4|11|8|1|1|0|1|1|12|21|17|36|1|1|12|4|0|20|4|2|30|44|3|2|25|1|0|1|1|23|6|22|2|2|1|6|4|2|0|4|0|4|12|1|11|11|0|5|2|2|2|0|0|2|4|2|33|0|1|1|5|2|5|1|5|4|0|2|1|0|13|12|9|3|5|0|2|3|14|0|0|3|2|17|0|2|4|2
|Horse 5/5|14|8|1|1|0|1|1|12|21|17|36|1|1|1|10|0|20|1|2|1|44|3|2|25|1|0|1|1|23|6|22|2|2|1|6|4|18|0|4|0|4|12|1|11|11|0|5|2|2|2|0|0|2|4|2|3|0|1|1|5|2|2|1|5|4|0|2|1|0|13|12|9|3|5|0|2|3|10|0|0|3|2|17|0|2|4|2
|Insect 1/1|36|8|1|1|0|1|0|12|21|17|36|1|1|4|0|0|20|6|2|0|44|3|2|25|1|0|1|1|23|6|22|2|2|1|6|4|1|1|4|0|4|12|1|11|11|0|5|10|2|2|0|0|2|4|2|32|0|1|1|5|2|5|1|5|4|0|2|1|0|13|12|9|3|5|0|2|3|0|0|0|3|2|17|0|2|4|2
|Snake 5/4|9|8|1|1|0|1|0|12|21|17|36|1|1|3|13|0|20|10|2|29|44|3|2|25|1|0|1|1|23|6|22|2|2|1|6|4|19|1|4|0|4|12|1|11|11|0|5|8|2|2|0|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|9|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Checklist Card|9|8|1|1|0|1|0|12|21|17|36|1|1|48|13|0|20|10|2|0|44|3|2|25|1|1580|1|1|23|6|22|2|2|1|6|4|19|1|4|0|4|12|1|11|11|0|5|8|2|2|0|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Arahbo, Roar of the World|1|8|1|1|9|6|2|12|1|17|4|1|1|48|10|2|1|6|2|6|44|3|2|25|1|1580|1|1|13|6|22|2|5|10|6|4|19|2|3|3|4|10|1|4|11|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|O-Kagachi, Vengeful Kami|18|8|1|1|2|2|3|12|1|10|0|2|1|48|11|1|0|8|2|3|44|3|2|12|1|1580|1|1|9|6|22|2|10|1|6|4|19|3|3|2|4|10|1|0|0|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Taigam, Ojutai Master|13|8|1|1|1|10|2|12|0|11|2|2|1|48|2|1|3|3|2|4|44|3|2|11|1|1580|0|1|5|6|22|2|5|7|6|4|19|9|3|1|4|5|1|0|0|0|5|8|2|2|7|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|The Ur-Dragon|11|8|1|1|1|0|5|12|0|13|2|2|1|48|9|3|7|7|2|14|44|3|2|11|1|1|8|1|14|6|22|2|9|22|6|4|19|18|4|5|4|6|1|4|2|0|5|8|2|2|4|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Wasitora, Nekoru Queen|10|8|1|1|7|3|1|12|1|11|2|2|1|48|5|4|2|1|2|6|44|3|2|15|1|1|2|1|10|6|22|2|3|2|6|4|19|5|4|9|4|13|1|1|2|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Ramos, Dragon Engine|22|8|1|1|3|8|3|12|1|11|2|2|1|48|2|1|4|3|2|2|44|3|2|15|1|1|1|1|4|6|22|2|7|2|6|4|19|0|4|4|4|11|1|1|1|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Traverse the Outlands|2|8|1|1|3|4|3|12|8|14|8|2|1|48|2|1|1|3|2|2|44|3|2|15|1|1|6|1|4|6|22|2|1|2|6|4|19|3|1|4|4|11|1|1|1|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Balan, Wandering Knight|4|8|1|1|5|2|4|12|8|7|8|2|1|48|2|5|2|0|2|10|44|3|2|15|1|2|2|1|9|6|22|2|13|0|6|4|19|4|1|6|4|4|1|5|1|0|5|8|2|2|4|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Hungry Lynx|2|8|1|1|9|6|1|12|8|1|14|0|1|48|9|9|2|0|2|2|44|3|2|1|1|1|6|1|4|6|22|2|8|10|6|4|19|10|1|4|4|2|1|2|1|0|5|8|2|2|8|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Stalking Leonin|3|8|1|1|1|1|8|12|8|2|8|2|1|48|0|4|5|7|2|12|44|3|2|8|1|1|2|1|13|6|22|2|3|10|6|4|19|5|1|8|4|2|1|2|1|0|5|8|2|2|4|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Mirri, Weatherlight Duelist|15|8|1|1|1|2|1|12|8|2|8|2|1|48|5|4|6|7|2|0|44|3|2|8|1|1|7|1|1|6|22|2|8|10|6|4|19|1|3|2|4|2|1|2|1|0|5|8|2|2|4|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Nazahn, Revered Bladesmith|8|8|1|1|1|4|1|12|8|6|1|2|1|48|7|5|3|0|2|4|44|3|2|15|1|2|4|1|11|6|22|2|10|14|6|4|19|9|5|5|4|8|1|3|1|0|5|8|2|2|2|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Hammer of Nazahn|9|8|1|1|8|0|2|12|8|1|1|0|1|48|2|5|3|0|2|4|44|3|2|0|1|2|5|1|11|6|22|2|2|5|6|4|19|10|5|1|4|8|1|3|1|0|5|8|2|2|2|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Alms Collector|2|8|1|1|4|8|1|12|12|1|6|2|1|48|5|7|5|1|2|0|44|3|2|2|1|2|3|1|6|6|22|2|7|5|6|4|19|3|5|7|4|6|1|5|1|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Bloodforged Battle-axe|10|8|1|1|9|6|1|12|12|11|2|2|1|48|6|5|2|3|2|1|44|3|2|2|1|2|7|1|1|6|22|2|11|4|6|4|19|7|5|7|4|8|1|4|1|0|5|8|2|2|1|0|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Bloodline Necromancer|14|8|1|1|1|18|2|12|12|11|2|1|1|48|4|1|0|4|2|19|44|3|2|2|1|3|3|1|19|6|22|2|3|15|6|4|19|9|5|2|4|13|1|4|1|0|5|8|2|2|1|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Herald's Horn|14|8|1|1|1|18|4|12|8|11|2|1|1|48|4|1|2|4|2|19|44|3|2|2|1|3|2|1|19|6|22|2|11|15|6|4|19|13|5|2|4|13|1|2|1|0|5|8|2|2|1|4|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Path of Ancestry|24|1|1|1|7|16|2|12|1|0|36|1|1|48|15|1|17|20|2|12|44|3|2|2|1|3|8|1|36|6|22|2|38|14|6|4|19|16|5|7|4|13|1|1|1|0|5|8|2|2|1|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Kindred Discovery|24|1|1|1|5|8|4|12|3|6|36|1|1|48|8|1|7|20|2|12|44|3|0|2|1|3|6|1|36|6|22|2|14|14|6|4|19|0|5|7|4|13|1|1|1|0|5|8|2|2|1|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Scalelord Reckoner|8|1|1|1|1|3|2|12|3|0|14|1|1|48|11|6|6|7|2|13|44|3|1|2|1|2|1|1|2|6|22|2|6|11|6|4|19|6|5|5|4|4|1|3|1|0|5|8|2|2|7|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Territorial Hellkite|16|1|1|1|6|10|1|12|3|12|0|1|1|48|4|7|6|2|2|6|0|3|1|2|1|2|1|1|12|6|22|2|6|2|6|4|19|9|5|4|4|6|1|4|2|0|5|8|2|2|8|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Kindred Summons|3|1|1|1|1|0|1|12|3|4|5|0|1|48|4|1|1|5|2|5|0|3|1|2|1|2|6|1|12|6|22|2|4|4|6|4|19|2|5|1|4|4|1|8|2|0|5|8|2|2|9|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Fractured Identity|13|1|1|1|2|4|9|12|3|1|4|0|1|48|7|1|6|3|2|6|0|3|1|2|1|2|4|1|9|6|22|2|17|13|6|4|19|10|5|9|4|13|1|6|2|0|5|8|2|2|7|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Fortunate Few|21|1|1|1|4|3|4|12|3|10|13|1|1|48|12|9|6|2|2|2|0|3|1|2|1|2|3|1|16|6|22|2|13|6|6|4|19|6|5|1|4|10|1|2|1|0|5|8|2|2|1|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Boneyard Scourge|14|1|1|1|6|10|1|12|3|6|10|1|1|48|4|1|6|3|2|7|0|3|1|2|1|2|3|1|4|6|22|2|5|7|6|4|19|2|5|1|4|6|1|1|2|0|5|8|2|2|5|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Qasali Slingers|14|1|1|1|4|6|8|1|3|6|8|1|1|48|2|2|2|5|2|1|0|3|1|2|1|2|3|1|14|6|22|2|16|2|6|4|19|4|5|8|4|12|1|3|2|0|5|8|2|2|3|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Mirror of the Forebears|14|1|1|3|2|13|6|1|3|9|8|3|1|48|10|4|6|0|2|8|0|3|1|2|1|2|0|1|1|6|22|2|2|5|6|4|19|5|5|4|4|5|1|3|2|0|5|8|2|1|3|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Licia, Sanguine Tribune|13|1|1|3|3|3|2|2|3|5|5|5|1|48|3|1|7|6|2|7|0|3|0|2|1|1|2|1|14|6|22|2|3|7|6|4|19|7|8|2|4|6|1|3|2|0|5|8|2|1|2|1|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Bloodsworn Steward|1|1|1|3|1|6|1|0|3|5|10|2|1|48|6|1|7|2|2|8|0|3|1|2|1|0|0|1|13|6|22|2|14|9|6|4|19|8|8|1|4|7|1|4|2|0|5|8|2|1|1|5|2|4|2|48|0|1|1|5|2|4|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Curse of Vitality|1|1|1|3|1|12|0|0|3|4|6|1|1|48|5|1|7|9|2|6|0|3|1|2|1|3|0|1|0|6|22|2|3|11|6|4|19|1|8|0|4|1|1|2|2|0|5|8|2|1|1|1|2|4|2|48|0|1|1|5|2|2|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Teferi's Protection|1|1|1|3|1|1|8|0|3|4|8|1|1|48|11|9|6|1|2|6|0|3|1|3|1|3|0|1|0|6|22|2|3|11|6|4|19|6|8|8|4|6|1|2|2|0|5|8|2|1|5|8|2|4|2|1|0|1|1|5|2|2|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Curse of Verbosity|5|1|1|3|0|18|2|0|3|1|13|0|1|48|5|1|11|1|2|1|0|3|1|3|1|2|6|1|10|6|22|2|19|2|6|4|19|5|8|0|4|0|1|2|2|0|5|8|2|1|1|8|2|4|2|1|0|1|1|5|2|2|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Curse of Disturbance|0|1|1|3|1|11|2|0|3|14|4|2|1|48|2|2|8|6|2|1|0|3|1|3|1|3|8|1|6|6|22|2|9|11|6|4|19|6|8|1|4|0|1|2|2|0|5|8|2|1|1|0|2|4|2|1|0|1|1|5|2|2|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|New Blood|28|1|1|3|1|5|1|1|3|13|12|2|1|48|0|4|2|7|2|1|0|3|1|3|1|3|5|1|7|6|22|2|14|2|6|4|19|5|8|8|4|2|1|5|2|0|5|8|2|1|1|5|2|4|2|1|0|1|1|5|2|2|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
|Crimson Honor Guard|7|1|1|3|4|2|7|0|3|10|3|2|1|48|10|5|7|1|2|5|0|3|1|2|1|3|3|1|11|6|22|2|2|8|6|4|19|7|8|2|4|3|1|2|2|0|5|8|2|1|4|4|2|4|2|1|0|1|1|5|2|2|1|5|4|0|0|1|0|13|12|12|3|5|0|2|3|8|0|0|3|2|17|0|2|4|2
